Designator,Mid X,Mid Y,Rotation,Layer
A1,-0.012569,-37.32475,0.0,top
D1,31.028561,-21.434091,90.0,bottom
D10,202.629404,-21.617993,90.0,bottom
D11,221.679404,-21.43411,90.0,bottom
D12,240.476861,-21.43411,90.0,bottom
D13,259.915002,-21.482465,90.0,bottom
D14,278.976361,-21.441225,90.0,bottom
D15,297.999194,-21.441225,90.0,bottom
D16,317.049194,-21.429367,90.0,bottom
D17,31.028561,-40.484091,90.0,bottom
D18,50.223111,-40.543446,90.0,bottom
D19,69.288863,-40.607425,90.0,bottom
D2,50.078561,-21.434091,90.0,bottom
D20,88.467545,-40.647257,90.0,bottom
D21,107.228561,-40.768138,90.0,bottom
D22,126.340171,-40.769285,90.0,bottom
D23,145.492254,-40.695714,90.0,bottom
D24,164.644336,-40.695714,90.0,bottom
D25,183.49843,-40.397726,90.0,bottom
D26,202.797592,-40.760051,90.0,bottom
D27,221.812353,-40.760051,90.0,bottom
D28,240.763837,-40.532852,90.0,bottom
D29,260.005797,-40.760051,90.0,bottom
D3,69.128561,-21.537718,90.0,bottom
D30,298.02574,-40.58655,90.0,bottom
D31,40.704404,-60.194243,90.0,bottom
D32,317.214003,-40.760051,90.0,bottom
D33,59.754404,-60.194243,90.0,bottom
D34,78.804404,-60.194243,90.0,bottom
D35,97.854404,-60.194243,90.0,bottom
D36,116.904404,-60.194243,90.0,bottom
D37,135.954404,-60.194243,90.0,bottom
D38,154.919498,-60.109337,90.0,bottom
D39,173.822198,-60.208784,90.0,bottom
D4,88.076861,-21.43411,90.0,bottom
D40,192.721533,-60.208784,90.0,bottom
D41,211.800484,-60.171288,90.0,bottom
D42,230.84962,-60.133793,90.0,bottom
D43,249.875592,-60.18151,90.0,bottom
D44,269.2215,-60.279456,90.0,bottom
D45,298.007016,-60.279456,90.0,bottom
D46,317.280795,-60.279456,90.0,bottom
D47,45.214173,-79.479845,90.0,bottom
D48,64.516904,-79.244243,90.0,bottom
D49,83.566904,-79.244243,90.0,bottom
D5,107.126861,-21.43411,90.0,bottom
D50,102.616904,-79.244243,90.0,bottom
D51,121.666904,-79.244243,90.0,bottom
D52,140.716904,-79.244243,90.0,bottom
D53,159.766904,-79.244243,90.0,bottom
D54,178.816904,-79.244243,90.0,bottom
D55,197.866904,-79.244243,90.0,bottom
D56,216.916904,-79.244243,90.0,bottom
D57,235.966904,-79.244243,90.0,bottom
D58,255.016904,-79.244243,90.0,bottom
D59,54.440933,-98.400626,90.0,bottom
D6,126.176861,-21.43411,90.0,bottom
D60,297.939135,-79.510359,90.0,bottom
D61,317.495974,-79.491226,90.0,bottom
D62,73.739831,-98.469335,90.0,bottom
D63,92.685122,-98.589536,90.0,bottom
D64,112.141904,-98.294243,90.0,bottom
D65,131.191904,-98.294243,90.0,bottom
D66,150.241904,-98.294243,90.0,bottom
D67,169.23883,-98.387164,90.0,bottom
D68,188.421269,-98.403651,90.0,bottom
D69,207.391904,-98.294243,90.0,bottom
D7,145.412043,-21.436118,90.0,bottom
D70,226.48666,-98.274784,90.0,bottom
D71,245.79378,-98.29986,90.0,bottom
D72,279.078292,-98.299391,90.0,bottom
D73,297.879404,-98.294243,90.0,bottom
D74,317.096362,-98.303009,90.0,bottom
D75,35.941904,-116.391743,90.0,bottom
D76,59.754404,-116.391743,90.0,bottom
D77,83.566904,-116.391743,90.0,bottom
D8,164.529404,-21.43411,90.0,bottom
D82,202.207577,-116.460658,90.0,bottom
D83,221.477747,-116.391743,90.0,bottom
D84,240.729404,-116.391743,90.0,bottom
D85,259.779404,-116.391743,90.0,bottom
D86,278.829404,-116.391743,90.0,bottom
D87,297.879404,-116.391743,90.0,bottom
D88,316.929404,-116.391743,90.0,bottom
D9,183.326861,-21.43411,90.0,bottom
S1,21.495654,-21.459243,0.0,top
S10,193.165163,-21.482041,0.0,top
S11,212.215808,-21.48227,0.0,top
S12,231.282422,-21.490953,0.0,top
S13,250.332904,-21.497766,0.0,top
S14,269.385037,-21.497766,0.0,top
S15,288.428217,-21.482025,0.0,top
S16,307.509337,-21.518409,0.0,top
S17,21.493984,-40.507591,0.0,top
S18,40.547274,-40.516334,0.0,top
S19,59.648925,-40.521572,0.0,top
S2,40.534695,-21.460543,0.0,top
S20,78.719031,-40.515129,0.0,top
S21,97.862226,-40.506892,0.0,top
S22,116.885081,-40.517488,0.0,top
S23,135.944843,-40.532487,0.0,top
S24,155.010193,-40.54496,0.0,top
S25,174.068184,-40.542368,0.0,top
S26,193.092456,-40.537223,0.0,top
S27,212.20009,-40.502016,0.0,top
S28,231.253221,-40.527575,0.0,top
S29,250.290442,-40.514796,0.0,top
S3,59.683086,-21.460543,0.0,top
S30,278.9241,-40.544264,0.0,top
S31,26.240226,-59.562025,0.0,top
S32,307.506917,-40.576428,0.0,top
S33,50.105976,-59.515265,0.0,top
S34,69.138933,-59.562768,0.0,top
S35,88.184555,-59.569694,0.0,top
S36,107.25069,-59.55943,0.0,top
S37,126.310936,-59.55943,0.0,top
S38,145.314924,-59.577312,0.0,top
S39,164.440548,-59.615008,0.0,top
S4,78.729776,-21.460562,0.0,top
S40,183.413271,-59.540017,0.0,top
S41,202.350101,-59.538528,0.0,top
S42,221.429052,-59.595343,0.0,top
S43,240.515684,-59.566904,0.0,top
S44,259.654142,-59.617017,0.0,top
S45,283.62105,-59.624533,0.0,top
S46,307.643023,-59.547073,0.0,top
S47,28.656272,-78.654082,0.0,top
S48,54.910365,-78.637898,0.0,top
S49,73.972117,-78.585596,0.0,top
S5,97.878166,-21.460562,0.0,top
S50,93.015484,-78.575648,0.0,top
S51,112.065484,-78.578964,0.0,top
S52,131.194213,-78.641971,0.0,top
S53,150.342838,-78.641971,0.0,top
S54,169.491464,-78.641971,0.0,top
S55,188.640089,-78.641971,0.0,top
S56,207.671051,-78.704118,0.0,top
S57,226.695031,-78.65444,0.0,top
S58,245.733076,-78.65444,0.0,top
S59,33.362662,-97.687655,0.0,top
S6,116.90861,-21.479922,0.0,top
S60,276.678167,-78.571221,0.0,top
S61,307.644608,-78.592983,0.0,top
S62,64.320177,-97.687655,0.0,top
S63,83.378595,-97.668758,0.0,top
S64,102.517271,-97.63228,0.0,top
S65,121.573904,-97.67539,0.0,top
S66,140.722529,-97.67539,0.0,top
S67,159.871155,-97.67539,0.0,top
S68,179.025361,-97.734433,0.0,top
S69,198.026451,-97.70444,0.0,top
S7,135.952205,-21.481541,0.0,top
S70,217.06758,-97.750802,0.0,top
S71,236.115456,-97.745129,0.0,top
S72,262.311865,-97.756659,0.0,top
S73,288.518059,-97.67914,0.0,top
S74,307.581609,-97.63228,0.0,top
S75,23.840479,-116.744149,0.0,top
S76,47.686481,-116.814103,0.0,top
S77,71.505239,-116.812377,0.0,top
S8,155.012779,-21.490791,0.0,top
S82,142.944169,-116.815236,0.0,top
S83,211.900799,-116.818372,0.0,top
S84,230.964613,-116.818372,0.0,top
S85,250.028426,-116.818372,0.0,top
S86,269.195161,-116.88428,0.0,top
S87,288.388969,-116.818095,0.0,top
S88,307.520085,-116.818372,0.0,top
S9,174.059254,-21.495362,0.0,top
